,0
0,support
1,friend
2,good
3,gt
4,win
5,certain
6,true
7,interest
8,play
9,share
10,sure
11,free
12,commit
13,credit
14,vital
15,freedom
16,number
17,benefit
18,better
19,love
20,success
21,wealth
22,care
23,like
24,favour
