,0
0,shame
1,hate
2,hell
3,anti
4,destroy
5,fight
6,killer
7,kill
8,fake
9,attack
10,dead
11,disappoint
12,suffer
13,forget
14,ass
15,evil
16,resign
17,fuck
18,die
19,grave
20,mad
21,fraud
22,idiot
23,difficult
24,bitch
25,critic
26,poison
27,stupid
28,doubt
