,Datetime,Tweet Id,Text,Username,Location
0,2021-04-11 11:55:53+00:00,1381214419460349956,@narendramodi Needs lockdown in Gujarat due to rising covid cases,NeelKhanvilkar,India
1,2021-04-11 11:55:53+00:00,1381214417648447491,"@WHO
Is it safe to take boards exam in this covid condition in india where daily affected persons is more then 100k?
Also we have studied whole year online then why @cbseindia29
Taking exam offline??
#cancelboardexam2021
@narendramodi @DrRPNishank
Plzs save us @narendramodi ji.",Iamtanveer11,
2,2021-04-11 11:55:51+00:00,1381214410102820870,@itx_aarav @narendramodi @cbse Right,LaxmiSo47257766,
3,2021-04-11 11:55:50+00:00,1381214405887553538,@narendramodi Get ready for Mann ki baat 🙏 https://t.co/8O5B41D7LH,dalipdutta,Line OF Control
4,2021-04-11 11:55:50+00:00,1381214405849849856,"@narendramodi Sir please talk about boards Sir please
Sir please support us. Education ministry is not listening to us regarding boards please ask them to do something about this. And please support us sir please
We students strongly believe on you
#cancelboardexam2021",FanFan94652387,India
5,2021-04-11 11:55:48+00:00,1381214396173611012,"@narendramodi Exam should be cancelled sir ......
#cancelcbseboards2021 #internalassessment",Om23082819,
6,2021-04-11 11:55:46+00:00,1381214388649041920,"Bastard Harshvardhan Blames Ordinary 🇮🇳People for Coronavirus Surge,
No Words for Election Rallies, Kumbh Mela, Religious Holi Celebrations, Cricket Matches &amp; Celebrities of Ambani-Modi Gang Free Sex Parties!",SWVVJJ, 
7,2021-04-11 11:55:45+00:00,1381214385792688136,"PM Modi providing every possible assistance to masses of J&amp;K : Sat
https://t.co/SVobXDzejI https://t.co/LO5hO4MIWC",UNTDigital,"Jammu, Jammu And Kashmir"
8,2021-04-11 11:55:44+00:00,1381214380952412166,"@vishalaryav @SonuSood thanks you sonu sir
We really need serious help
#cancelboardexam2021 #internalassessment #studentswantsjustice #OnlineExamsclass10thand12th @DrRPNishank @SonuSood @narendramodi",the_abhikrit,Dhanbad Jharkand India
9,2021-04-11 11:55:44+00:00,1381214380646301697,@narendramodi A large portion of LMC area grabbed by property dealer in shivaliya near madhuban baapudham (Ghaziabad)in uttar pradesh to do illegal construction 🚧,Avneet94539031,
10,2021-04-11 11:55:40+00:00,1381214362677866502,@CTRavi_BJP @narendramodi Is this also for 45 and above?,rangarulez,Chennai
11,2021-04-11 11:55:39+00:00,1381214358701629447,@narendramodi Need iPhone 😋😋😋,GAREEB33406260,"Patna, India"
12,2021-04-11 11:55:38+00:00,1381214356038283271,@narendramodi #cancelboardexam2021 @cbseindia29 @DrRPNishank @aajtak About 40 lakh students have to appear in boards so to protect them CBSE mush take alternative option at the place of offline exam like online exam or postpone it. Giving marks on basis of internal access. is not good option.,DeveshP60000587,"Delhi, India"
13,2021-04-11 11:55:37+00:00,1381214349495169035,"@Anirudh27205119 @ChouhanShivraj @Indersinghsjp @narendramodi @MPTakOfficial 🙏🏻.....👍🏻
please sir think about children and their future. 
#cancelboardexam2021 
#mpbordexam 
#COVID19India",2_hopeforindia,
14,2021-04-11 11:55:37+00:00,1381214348790599686,@ggiittiikkaa Same scenes in Tamil Nadu apparently. DMK candidates are begging for Modi to campaign for BJP candidates. And Ajay Bisht ke liye bahut bhaari demand hai.,sandipshettyyer,Mumbai/Sharjah
15,2021-04-11 11:55:36+00:00,1381214345237983232,"@SonuSood @flyspicejet Sir thanks for your support and I request all the celebrity to support us (students) because gov. Is not listening to our voice Support us
#cancelboardexam2021
@SonuSood @ashchanchlani @iAmitBhadana @CarryMinati @SrBachchan @narendramodi @DrRPNishank @msdhoni @imVkohli @ABPNews",Abhishe69588239,
16,2021-04-11 11:55:34+00:00,1381214337520463872,@Uppolice @kushinagarpol @CMOfficeUP @UPGovt @narendramodi @swachhbharat @SwachhBharatGov @Viacom18Studios @akshaykumar @bhumipednekar @AnupamPKher @SachinSKhedekar *Beside,Ravira27,
17,2021-04-11 11:55:34+00:00,1381214336182448129,"@Ramant341 @Deeksha48571138 @EduMinOfIndia @cbseindia29 @narendramodi @PMOIndia @DrRPNishank @PIB_India @PIBHindi @MIB_India @mygovindia @OfficeOfSDhotre @transformIndia @_DigitalIndia Oh! Then leave everything on time
Time is a great healer....!!!",beingcrazyshivi,
18,2021-04-11 11:55:33+00:00,1381214334144012296,"#cancelboardexam2021 
@DrRPNishank @narendramodi @AmitShah @JM_Scindia 

Since the cases of covid 19 are rising continuously its our humble request that we the stds of class 10th &amp; 12th should be generally promoted through #internalassessment !
Thank you 🙏",yadavsandeeeep,
19,2021-04-11 11:55:32+00:00,1381214327512866816,@ICTX72 @narendramodi you don't have boards,VIRAT89aep,
20,2021-04-11 11:55:30+00:00,1381214319724011521,"Small Suggestion - Indian Army n CRPF must install GPS enabled technology in weapons like INSAS sniper rifles n guns during Maoist attack.

Benefit- In case Naxals take away our soldier weapons their location can be easily traced. @crpfindia 
@adgpi 
@GeneralBakshi @narendramodi",arvins08singh,"New Delhi, India"
